구분,고급휘발유,보통휘발유,자동차용경유,실내등유
2022년02월20일,1951.75,1733.84,1557.47,1191.10
2022년02월21일,1953.51,1736.48,1560.65,1193.30
2022년02월22일,1955.69,1739.36,1563.99,1195.74
2022년02월23일,1958.38,1743.05,1568.31,1199.43
2022년02월24일,1960.22,1746.20,1572.03,1202.08
2022년02월25일,1963.42,1750.84,1577.05,1205.59
2022년02월26일,1967.62,1754.75,1581.41,1208.89
2022년02월27일,1968.72,1756.31,1582.87,1210.07
2022년02월28일,1970.54,1758.87,1585.96,1211.75
2022년03월01일,1978.01,1763.32,1590.62,1214.21
2022년03월02일,1980.57,1767.09,1594.81,1216.86
2022년03월03일,1987.10,1774.18,1602.22,1220.89
2022년03월04일,2001.17,1786.04,1615.37,1228.35
2022년03월05일,2013.77,1803.20,1634.99,1240.06
2022년03월06일,2021.93,1812.90,1646.01,1246.39
2022년03월07일,2033.12,1828.34,1665.13,1254.34
2022년03월08일,2070.15,1860.61,1706.45,1274.04
2022년03월09일,2101.67,1892.40,1750.15,1293.64
2022년03월10일,2121.70,1913.73,1781.84,1307.90
2022년03월11일,2152.86,1938.97,1818.45,1326.41
2022년03월12일,2178.73,1965.03,1857.08,1346.39
2022년03월13일,2186.06,1975.36,1872.63,1354.27
2022년03월14일,2199.38,1988.04,1892.42,1365.14
2022년03월15일,2215.11,2000.95,1912.14,1379.04
2022년03월16일,2220.36,2004.23,1917.89,1387.36
2022년03월17일,2220.83,2003.42,1917.35,1392.28
2022년03월18일,2219.27,2002.56,1917.35,1397.91
2022년03월19일,2217.84,2002.13,1917.14,1402.40
2022년03월20일,2217.71,2002.18,1917.39,1403.61
2022년03월21일,2218.15,2002.12,1917.82,1405.24
2022년03월22일,2217.07,2001.84,1917.89,1406.68
2022년03월23일,2217.07,2001.72,1918.25,1408.77
2022년03월24일,2216.29,2001.81,1918.92,1410.77
2022년03월25일,2214.41,2001.92,1919.65,1412.95
2022년03월26일,2212.90,2000.65,1919.15,1415.09
2022년03월27일,2213.04,2000.85,1919.61,1415.57
2022년03월28일,2212.79,2001.15,1920.44,1416.78
2022년03월29일,2214.23,2000.45,1920.32,1418.78
2022년03월30일,2213.16,1999.44,1919.72,1420.21
2022년03월31일,2212.71,1998.39,1918.84,1421.21
2022년04월01일,2211.45,1996.11,1916.89,1422.72
2022년04월02일,2204.68,1994.54,1915.18,1423.37
2022년04월03일,2202.84,1993.97,1914.62,1423.33
2022년04월04일,2202.56,1992.30,1913.19,1423.94
2022년04월05일,2198.40,1990.23,1911.37,1424.51
2022년04월06일,2198.49,1988.81,1910.43,1425.07
2022년04월07일,2196.66,1987.04,1909.18,1425.64
2022년04월08일,2195.60,1984.87,1907.86,1426.28
2022년04월09일,2194.44,1982.90,1906.17,1426.61
2022년04월10일,2193.56,1982.06,1905.50,1426.73
2022년04월11일,2193.61,1980.41,1904.54,1426.81
2022년04월12일,2193.28,1976.94,1902.53,1426.82
2022년04월13일,2192.16,1974.21,1900.84,1426.74
2022년04월14일,2191.00,1972.26,1899.67,1426.77
2022년04월15일,2189.53,1970.42,1899.20,1427.19
2022년04월16일,2188.40,1969.26,1898.83,1427.47
2022년04월17일,2188.20,1968.85,1898.62,1427.35
2022년04월18일,2188.68,1968.37,1899.04,1427.74
