,서울,서울,서울,서울,강원도,강원도,강원도,강원도,충청도,충청도,충청도,충청도,전라도,전라도,전라도,전라도,경상도,경상도,경상도,경상도
,광업,전기업 및 가스업,제조업,총지수,광업,전기업 및 가스업,제조업,총지수,광업,전기업 및 가스업,제조업,총지수,광업,전기업 및 가스업,제조업,총지수,광업,전기업 및 가스업,제조업,총지수
index,,,,,,,,,,,,,,,,,,,,
201801,77.903,158.772,109.231,115.391,100.918,137.906,92.54,102.298,51.465,173.238,104.878,102.708,84.884,137.454,107.02,107.854,169.417,130.597,107.95,108.676
201802,71.223,139.826,93.571,99.986,87.141,121.39,85.383,92.707,50.299,152.285,90.113,89.478,73.136,120.198,91.96,92.867,141.716,116.835,95.872,96.502
201803,105.755,123.521,108.004,109.546,108.726,118.321,101.815,105.694,67.882,121.428,108.827,105.87,99.568,105.666,108.767,107.774,160.709,111.756,112.805,111.932
201804,114.286,100.581,104.717,103.305,114.466,102.798,103.528,104.396,86.47,89.572,101.721,98.994,141.614,87.828,107.868,105.863,162.201,96.75,109.916,108.456
201805,123.741,88.053,103.637,100.291,118.599,99.188,108.871,107.792,90.148,73.259,102.695,99.669,145.564,82.942,110.263,107.955,172.24,91.605,113.197,111.469
201806,138.129,88.778,102.97,100.331,120.092,101.354,107.661,107.493,88.082,68.967,101.321,97.74,169.128,79.295,107.563,105.51,153.334,89.444,110.015,108.661
201807,131.757,101.031,104.219,103.355,111.711,116.426,104.335,107.393,76.408,73.974,102.036,98.775,174.41,86.907,106.679,105.745,119.97,98.321,107.665,107.435
201808,105.755,102.318,102.434,101.843,102.296,116.877,104.637,106.893,70.36,72.788,102.41,98.386,153.42,84.738,102.17,101.308,133.643,97.042,105.327,105.334
201809,128.571,82.279,103.81,99.807,98.163,95.397,98.185,97.702,75.355,63.807,100.868,95.65,110.183,82.431,99.377,97.788,105.803,83.048,103.334,102.03
201810,141.316,91.702,115.249,110.452,115.27,97.834,109.476,107.692,81.567,82.567,108.997,105.9,78.066,88.974,108.756,107.276,102.529,93.735,116.06,114.453
201811,131.86,105.968,111.796,109.686,117.566,104.783,112.097,111.089,78.837,108.575,105.871,103.118,73.3,103.009,106.347,105.982,144.292,102.867,114.849,113.738
201812,113.669,138.305,106.098,109.827,101.722,125.812,105.948,109.59,69.368,153.452,106.728,103.937,72.392,130.935,101.827,103.3,170.118,120.909,109.421,109.932
201901,123.947,148.382,101.959,108.097,99.311,132.22,102.722,108.292,57.401,166.77,105.839,103.924,64.204,157.027,104.958,106.938,202.25,129.975,111.228,112.023
201902,105.653,129.136,84.95,91.224,86.567,111.372,90.222,94.106,55.401,141.343,87.493,86.981,53.23,119.809,86.263,87.898,125.856,115.09,92.816,93.759
201903,126.721,111.316,103.304,103.568,100.23,105.054,100.706,101.499,74.434,118.671,107.748,103.308,73.454,112.392,105.561,105.573,167.453,114.614,112.373,112.222
201904,151.696,94.091,102.49,100.356,115.729,95.397,110.383,107.792,91.918,94.589,110.273,105.231,96.908,100.202,109.62,108.765,130.484,104.041,113.642,112.786
201905,156.321,82.989,104.495,100.785,122.273,91.065,110.988,107.992,95.265,72.65,111.686,105.968,177.571,87.052,107.831,106.651,122.54,97.902,113.73,112.717
201906,142.138,80.775,101.183,97.739,113.433,89.531,105.544,102.997,95.643,66.749,103.646,99.263,152.676,80.571,101.623,100.587,122.037,89.778,107.912,106.844
201907,138.438,98.173,100.981,100.598,104.133,110.199,107.661,107.892,79.267,74.378,110.701,106.366,112.972,84.05,107.554,106.101,115.037,93.323,111.943,110.933
201908,122.713,100.292,99.063,98.966,104.822,113.628,99.294,102.597,72.13,73.398,102.113,99.274,140.054,82.198,97.056,96.315,111.653,94.164,101.656,101.662
201909,103.803,88.05,102.136,99.709,100.804,100.0,109.073,106.593,72.953,67.814,102.653,98.902,98.639,75.182,100.943,98.883,79.553,84.018,101.8,100.72
201910,119.733,89.623,112.146,108.278,108.152,99.549,110.484,108.092,88.35,76.145,111.893,108.216,93.882,82.074,105.347,103.29,89.483,89.426,113.199,111.436
