,연도,월,그룹,계약구분,사용량(kWh),전기요금(원),평균판매단가(원/kWh)
64,2015,1,전라도,"공공행정, 국방 및 사회보장 행정",53138698.0,7061873373.0,134.70000000000002
65,2015,1,전라도,광업 ,11564924.0,1906736689.0,157.4333333333333
66,2015,1,전라도,교육 서비스업,109745873.0,12358646709.0,112.89999999999999
67,2015,1,전라도,금융 및 보험업 ,19142556.0,2606906087.0,136.46666666666667
68,2015,1,전라도,"농업, 임업 및 어업 ",396687430.0,18820281301.0,47.26666666666667
69,2015,1,전라도,도매 및 소매업,167055281.0,21923657938.0,131.20000000000002
70,2015,1,전라도,보건업 및 사회복지 서비스업,85985314.0,9886685883.0,115.56666666666666
71,2015,1,전라도,부동산업 및 임대업 ,175498125.0,23700381143.0,135.20000000000002
72,2015,1,전라도,"사업시설관리,사업지원서비스업",18227934.0,2540853640.0,139.33333333333334
73,2015,1,전라도,숙박 및 음식점업 ,181366035.0,22809759739.0,125.73333333333333
74,2015,1,전라도,"예술,스포츠및여가관련서비스업",50265151.0,6735913452.0,133.53333333333333
75,2015,1,전라도,운수업,68548495.0,6863115180.0,106.96666666666665
76,2015,1,전라도,"전기, 가스, 증기 및 수도사업 ",84557428.0,10796540607.0,131.43333333333334
77,2015,1,전라도,"전문, 과학 및 기술 서비스업 ",17550632.0,2429496270.0,138.29999999999998
78,2015,1,전라도,제조업 ,3210569404.0,360095041252.0,116.03333333333335
79,2015,1,전라도,"출판영상,방송통신정보서비스업",54455004.0,6665673771.0,122.63333333333333
80,2015,1,전라도,하수폐기처리원료재생환경복원,68058193.0,8000252065.0,117.86666666666667
81,2015,1,전라도,"협회단체,수리기타개인서비스업",83424723.0,11088839754.0,133.06666666666666
82,2015,1,충청도,"가구내고용,미분류자가소비생산",13600.0,1555841.0,114.3
83,2015,1,충청도,건설업 ,40471583.0,5352019016.0,133.125
84,2015,1,충청도,"공공행정, 국방 및 사회보장 행정",75058266.0,9718846841.0,130.2
85,2015,1,충청도,광업 ,36569954.0,4954361954.0,155.75
86,2015,1,충청도,교육 서비스업,154942461.0,16410216743.0,105.3
87,2015,1,충청도,국제 및 외국기관,24587.0,3195251.0,130.0
88,2015,1,충청도,금융 및 보험업 ,18653273.0,2492924910.0,133.9
89,2015,1,충청도,"농업, 임업 및 어업 ",245892628.0,11892558236.0,48.925
90,2015,1,충청도,도매 및 소매업,215004219.0,28241460181.0,131.1
