,2020년 배출량 (톤/yr)
배출원 대분류,TSP,PM-2.5,PM-10,SOx,NOx,VOCs,NH3,CO,BC
에너지산업 연소,4692,3607,4394,91243,150818,7464,1379,55138,307
비산업 연소,1841,1025,1582,28736,82948,2622,1351,72299,155
제조업 연소,121668,36317,70893,85098,169139,3101,627,16854,741
생산공정,11876,5132,6658,105385,59830,182899,39432,26069,16
에너지수송 및 저장,,,,,,29137,,,
유기용제 사용,,,,,,555359,,,
도로이동오염원,9583,8817,9583,209,369585,46145,10078,245516,5456
비도로이동오염원,15320,14106,15317,39424,304376,40311,117,135700,6879
폐기물처리,340,209,246,2119,11977,57074,22,1548,3
농업,,,,,,,231263,,
기타 면오염원,498,285,317,,172,648,12882,7197,15
비산먼지,408242,17248,109633,,,,,,108
생물성 연소,30183,12060,14552,79,8883,86012,15,232455,2255
합계,604243,98806,233177,352292,1157728,1010771,297167,792776,15934
