,2020년 배출량 (톤/yr)
배출원 대분류,TSP,PM-2.5,PM-10,SOx,NOx,VOCs,NH3,CO,BC
에너지산업 연소,3645,2813,3365,45297,75513,8434,1422,64327,372
비산업 연소,1311,857,1177,15869,85814,2828,1350,47629,180
제조업 연소,90718,27118,52932,65730,169221,3404,717,19737,623
생산공정,11821,5139,6699,105699,51705,186292,44630,26766,15
에너지수송 및 저장,,,,,,29062,,,
유기용제 사용,,,,,,545244,,,
도로이동오염원,6719,6182,6719,308,371851,36663,2615,180489,3801
비도로이동오염원,17270,15989,17265,37555,311748,63951,122,187565,6904
폐기물처리,367,228,267,2326,12332,59537,22,2140,3
농업,,,,,,,252444,,
기타 면오염원,945,539,599,,271,1281,12962,10552,40
비산먼지,323462,17272,105037,,,,,,122
생물성 연소,28269,11482,13806,75,8407,83521,15,218642,2151
합계,484527,87618,207866,272859,1086862,1020216,316299,757848,14211
