,2020년 배출량 (톤/yr)
배출원 대분류,TSP,PM-2.5,PM-10,SOx,NOx,VOCs,NH3,CO,BC
에너지산업 연소,4733,3679,4508,94562,162818,7697,1425,57856,324
비산업 연소,1908,1045,1629,24668,81143,2558,1280,76594,156
제조업 연소,102738,30322,59975,82982,173660,3280,717,18716,648
생산공정,12167,4903,6407,98927,53311,180351,38043,25855,15
에너지수송 및 저장,,,,,,27645,,,
유기용제 사용,,,,,,549318,,,
도로이동오염원,10019,9218,10019,183,361230,49468,10113,281225,5674
비도로이동오염원,14865,13671,14861,39991,291171,36873,116,126103,6594
폐기물처리,335,204,247,1846,12257,48061,23,1645,3
농업,,,,,,,227953,,
기타 면오염원,428,245,272,,153,551,12832,6459,11
합계,147194,63286,97918,343161,1135743,905803,292501,594454,13426
