,2020년 배출량 (톤/yr)
배출원 대분류,TSP,PM-2.5,PM-10,SOx,NOx,VOCs,NH3,CO,BC
에너지산업 연소,4273,3253,3951,91696,145445,8001,1559,58579,330
비산업 연소,1694,978,1468,24015,85824,2740,1415,67735,161
제조업 연소,123138,36785,71794,86593,175332,3342,672,18170,776
생산공정,12056,5191,6731,112734,55932,186104,42489,27340,17
에너지수송 및 저장,,,,,,30160,,,
유기용제 사용,,,,,,558004,,,
도로이동오염원,10596,9748,10596,231,452995,47561,5071,244556,5930
비도로이동오염원,15592,14354,15588,41443,309986,40816,117,136612,6781
폐기물처리,406,252,295,2161,13570,58988,22,2008,4
농업,,,,,,,237017,,
기타 면오염원,481,275,306,,167,624,12924,6977,14
비산먼지,412686,17286,107735,,,,,,115
생물성 연소,30618,12124,14623,78,9059,87687,15,233066,2274
합계,611539,100247,233085,358951,1248309,1024029,301301,795044,16401
