,2020년 배출량 (톤/yr)
배출원 대분류,TSP,PM-2.5,PM-10,SOx,NOx,VOCs,NH3,CO,BC
에너지산업 연소,5024,3534,4546,84464,166709,7623,1465,56202,
비산업 연소,2562,1326,2213,53957,90876,2948,1528,79804,
제조업 연소,153097,45721,89463,109878,181219,3560,863,19179,
생산공정,13249,5876,7394,109342,53077,146499,33530,21406,
에너지수송 및 저장,,,,,,25318,,,
유기용제 사용,,,,,,559662,,,
도로이동오염원,13030,11988,13030,366,322307,69059,9208,463543,
비도로이동오염원,13904,12792,13901,67557,217098,16758,662,68290,
폐기물처리,334,209,242,8395,8732,40879,23,1861,
농업,,,,,,,216453,,
기타 면오염원,609,348,386,,197,803,12684,8060,
합계,201810,81793,131176,433959,1040214,873108,276415,718345,
