지점,일시,풍속(m/s),풍향(deg),GUST풍속(m/s),현지기압(hPa),습도(%),기온(°C),수온(°C),최대파고(m),유의파고(m),평균파고(m),파주기(sec),파향(deg)
21229,2020-03-01 00:00,3.1,67,4.2,1020,63,6.4,11.2,1.3,.9,.6,7.1,1
21229,2020-03-01 01:00,2.6,90,4,1019.8,61,7,11,1.5,.9,.7,6.4,11
21229,2020-03-01 02:00,2.4,77,3.7,1020.1,64,7.1,10.9,1.3,.8,.6,6.4,14
21229,2020-03-01 03:00,3.4,89,4.5,1019.9,62,7.1,11,1.3,.8,.6,7.1,30
21229,2020-03-01 04:00,3.9,89,5.4,1019.5,63,7,11,1.4,.9,.6,7.1,19
21229,2020-03-01 05:00,3.9,86,6.1,1019.8,58,7,11,1.3,.8,.6,6.4,21
21229,2020-03-01 06:00,4.5,104,6.3,1020.3,59,7.2,11.1,1.2,.8,.6,7.1,16
21229,2020-03-01 07:00,4.2,97,5.9,1020.1,60,7.2,11,1.1,.7,.5,6.4,14
21229,2020-03-01 08:00,5.4,101,7.2,1020.4,60,7.4,11.1,1.2,.7,.5,5.8,30
21229,2020-03-01 09:00,5.5,117,7.4,1021,60,7.4,11.2,1.2,.7,.5,6.4,21
21229,2020-03-01 10:00,5,127,6.9,1021.5,60,7.8,11.1,1.3,.9,.6,7.1,20
21229,2020-03-01 11:00,5.4,118,7.5,1020.7,62,8.3,11.1,1.7,.9,.7,7.1,24
21229,2020-03-01 12:00,6.4,119,8.6,1020.5,62,8.1,11.1,1.6,.9,.7,6.4,28
21229,2020-03-01 13:00,6.6,126,8.4,1019.7,62,8.2,11,1.7,.9,.6,4.6,90
21229,2020-03-01 14:00,7.5,130,9.9,1019.3,62,8.3,11,1.6,.9,.7,7.1,22
21229,2020-03-01 15:00,7.6,125,9.3,1018,65,8.2,11.1,1.3,.9,.6,7.1,19
21229,2020-03-01 16:00,8,126,9.5,1018.1,63,8.6,11.1,1.6,.9,.7,4.3,103
21229,2020-03-01 17:00,8.2,134,9.9,1017.8,64,8.8,11.2,1.4,1,.7,4.3,82
21229,2020-03-01 18:00,8.8,131,10.8,1017.6,65,8.8,11.2,1.5,.9,.7,4.6,57
21229,2020-03-01 19:00,8.3,126,10.1,1017.6,67,8.8,11.1,1.8,1.1,.8,4.6,42
21229,2020-03-01 20:00,8.2,131,10,1017.8,65,8,11.1,1.9,1.3,.9,4.6,91
21229,2020-03-01 21:00,8.3,132,10,1017.7,68,9,11.2,2,1.2,.9,4.9,81
21229,2020-03-01 22:00,8.4,133,10.6,1017.5,65,8.2,11.1,2.3,1.3,.9,4.6,117
21229,2020-03-01 23:00,8.4,139,10.8,1016.8,67,9.1,11,2.3,1.4,1,4.9,148
21229,2020-03-02 00:00,8.1,148,10.1,1016.2,67,8.2,10.9,1.9,1.3,.9,4.9,149
21229,2020-03-02 01:00,8.8,150,11.3,1015.6,69,8.4,11.2,2.1,1.4,1,4.9,138
21229,2020-03-02 02:00,9.2,158,11.2,1014.8,70,9.2,11.2,2.2,1.5,1.1,5.3,122
21229,2020-03-02 03:00,8.4,165,10.7,1014.1,71,9.4,11.2,2.3,1.4,1,5.3,137
21229,2020-03-02 04:00,8.9,169,11.2,1012.9,73,9.5,11.3,2.4,1.4,1,5.3,123
21229,2020-03-02 05:00,9.4,194,11.3,1013.1,73,9.5,11.3,2.5,1.4,1,5.3,95
21229,2020-03-02 06:00,8.6,240,10.7,1013.3,86,8.8,11.3,2,1.4,1,5.3,108
21229,2020-03-02 07:00,10.6,314,13.9,1013.9,68,9.2,11.3,2.2,1.2,.8,5.8,109
21229,2020-03-02 08:00,11.7,312,14.8,1014.4,63,8.5,11.3,2.2,1.5,1.1,3.8,323
21229,2020-03-02 09:00,12.5,310,15.4,1015.6,57,7.7,11.3,3,1.8,1.3,4.3,324
21229,2020-03-02 10:00,13,309,16.5,1016.3,55,7.7,11.4,3.7,2,1.4,5.8,328
21229,2020-03-02 11:00,13.7,308,17.2,1016.4,56,7.6,11.4,4,2.7,1.9,7.1,324
21229,2020-03-02 12:00,10.4,295,13.6,1017,56,7.5,11.4,5.1,2.9,2,8,329
21229,2020-03-02 13:00,10.9,292,15.5,1017,68,6.7,11.5,4.2,2.8,2,8,338
21229,2020-03-02 14:00,15,320,20.4,1017.1,73,6.6,11.4,4.9,3,2.1,8,336
21229,2020-03-02 15:00,15,321,18.6,1017.9,74,6.3,11.4,5.2,3.4,2.4,8,337
21229,2020-03-02 16:00,13.9,345,18.1,1018.7,76,6.4,11.4,5.7,4.1,2.9,9.1,336
21229,2020-03-02 17:00,12.1,352,15.9,1020.4,74,5.9,11.4,6.1,4.1,2.9,9.1,341
21229,2020-03-02 18:00,9.3,9,13.8,1022.4,66,6.1,11.3,5.2,3.4,2.4,9.1,359
21229,2020-03-02 19:00,9.6,9,12.6,1023.2,74,6.1,11.3,5,3,2.1,9.1,359
21229,2020-03-02 20:00,9.5,2,12.4,1023.7,72,5,11.2,4.2,2.8,2,9.1,350
21229,2020-03-02 21:00,10.1,12,13.8,1023.9,74,5.6,11.2,5.6,2.8,2,9.1,22
21229,2020-03-02 22:00,10.4,19,13,1024.7,72,4.7,11.1,4.3,3,2.1,10.7,21
21229,2020-03-02 23:00,9.2,11,12.3,1025.5,73,5.3,11.1,4.2,2.9,2.1,9.1,25
21229,2020-03-03 00:00,7.5,11,9.9,1026.3,62,5.6,11,4.2,2.9,2.1,9.1,23
21229,2020-03-03 01:00,7.5,28,10.2,1026.4,59,4.8,11,4.2,2.4,1.7,9.1,30
21229,2020-03-03 02:00,7,38,9.5,1026.6,65,5.4,11,4,2.6,1.8,9.1,34
