지점,일시,풍속(m/s),풍향(deg),GUST풍속(m/s),현지기압(hPa),습도(%),기온(°C),수온(°C),최대파고(m),유의파고(m),평균파고(m),파주기(sec),파향(deg)
21229,2015-01-01 00:00,6.3,336,11.9,1010.7,96,.2,13.5,3,2.3,1.7,7.1,147
21229,2015-01-01 01:00,12.1,302,18.1,1012.6,96,.2,13.5,3.4,2.7,1.9,7.1,185
21229,2015-01-01 02:00,10.7,288,14.7,1012.1,96,-.2,13.5,3.5,2.7,1.9,6.4,202
21229,2015-01-01 03:00,11,295,17.8,1011.8,84,1.1,13.5,3.9,2.6,1.8,7.1,179
21229,2015-01-01 04:00,14.1,298,23.3,1011.6,95,.4,13.5,3.9,3.5,2.5,7.1,189
21229,2015-01-01 05:00,13.7,323,20.6,1012.9,94,-.1,13.5,4.2,3.4,2.4,7.1,200
21229,2015-01-01 06:00,14.9,313,21.5,1011.7,82,1.9,13.5,7.2,4.1,2.9,8,188
21229,2015-01-01 07:00,14.9,341,23.1,1011.2,95,0,13.5,5.7,4.4,3.1,9.1,179
21229,2015-01-01 08:00,11.3,338,18.3,1010.6,96,-.3,13.4,5,4.2,3,7.1,182
21229,2015-01-01 09:00,11.3,343,17.9,1011.7,96,-.6,13.4,6,4.1,2.9,8,182
21229,2015-01-01 10:00,10.3,356,15.1,,96,-1,13.4,6.4,4.1,2.9,9.1,196
21229,2015-01-01 11:00,13.3,340,20.4,1015.6,97,-.4,13.4,6.1,4.3,3.1,8,197
21229,2015-01-01 12:00,12.5,4,18,1015.4,97,-.5,13.4,6.3,4.1,2.9,9.1,181
21229,2015-01-01 13:00,12.2,336,17.3,1014.4,97,-.6,13.4,6.2,4.5,3.2,9.1,186
21229,2015-01-01 14:00,14.3,317,19.9,1015.4,97,-.4,13.3,5.3,3.8,2.7,9.1,196
21229,2015-01-01 15:00,13.6,335,19.1,1015.1,97,-.4,13.3,4.7,4.6,3.3,8,192
21229,2015-01-01 16:00,11.8,325,16.8,1014.5,97,-.6,13.3,3.9,3.8,2.7,8,197
21229,2015-01-01 17:00,11.6,269,18.8,1015.9,97,-.4,13.3,5,3.4,2.4,8,177
21229,2015-01-01 18:00,11.2,297,16.6,1016.2,97,-.9,13.3,5.2,3.7,2.6,8,217
21229,2015-01-01 19:00,11.1,312,17,1016.3,97,-.7,13.3,5.2,3.5,2.5,9.1,223
21229,2015-01-01 20:00,10.8,320,15.7,1017.7,97,-.4,13.3,4.6,3.8,2.7,8,235
21229,2015-01-01 21:00,9.4,330,14.2,1018.8,97,-.1,13.3,5.4,3.2,2.3,9.1,225
21229,2015-01-01 22:00,10.6,342,15.5,1018.3,97,-.1,13.3,4.2,2.9,2,9.1,237
21229,2015-01-01 23:00,8.5,329,11.9,1018.3,97,0,13.4,4.3,3.2,2.3,8,220
21229,2015-01-02 00:00,7.6,293,13.9,1018.1,97,0,13.4,4.1,3,2.1,9.1,250
21229,2015-01-02 01:00,5.4,283,12.1,1018.1,97,-.4,13.4,4.5,2.8,2,9.1,263
21229,2015-01-02 02:00,6.1,306,9.7,1018.5,91,.3,13.4,3.5,2.5,1.8,7.1,244
21229,2015-01-02 03:00,5.9,271,10,1018,80,.9,13.4,3.6,2.7,1.9,9.1,292
21229,2015-01-02 04:00,6.8,274,11,1017.8,85,1.3,13.4,3.2,2.7,1.9,8,289
21229,2015-01-02 05:00,7.5,249,13.5,1017.5,70,2.6,13.3,3.1,2.4,1.7,6.4,286
21229,2015-01-02 06:00,7.5,268,11.7,1016.4,56,2.5,13.3,3.1,2.2,1.6,8,306
21229,2015-01-02 07:00,7.1,270,12.4,1016.2,60,2,13.4,3,2.2,1.5,8,292
21229,2015-01-02 08:00,6.1,295,10.4,1015.9,54,1.8,13.3,2.9,2.3,1.7,7.1,266
21229,2015-01-02 09:00,5.5,300,9.4,1015.9,51,1.8,13.3,2.5,2.2,1.5,8,267
21229,2015-01-02 10:00,9.1,290,13.2,1016.4,61,2.5,13.3,2.8,2.1,1.5,8,265
21229,2015-01-02 11:00,10.8,268,15.9,1016,59,1.9,13.3,3.4,2.4,1.7,8,239
21229,2015-01-02 12:00,10.8,318,16.3,1015.9,91,0,13.3,3.2,2.5,1.8,8,283
21229,2015-01-02 13:00,12.8,313,17.9,1015.5,81,1.2,13.3,3,2.7,1.9,6.4,205
21229,2015-01-02 14:00,13.1,301,19.2,1014.8,86,.6,13.3,5.5,2.8,2,6.4,191
21229,2015-01-02 15:00,13.1,297,18.5,1014.9,68,2.1,13.3,5.6,2.9,2,7.1,197
21229,2015-01-02 16:00,12.6,270,19.5,1014.5,79,1.9,13.3,5.2,2.8,2,8,218
21229,2015-01-02 17:00,16.3,348,23.4,1015.9,94,1,13.3,5.2,3.7,2.6,8,179
21229,2015-01-02 18:00,14.1,350,20.1,1017.3,94,2.5,13.3,3.7,3.2,2.3,8,183
21229,2015-01-02 19:00,12.1,2,17.3,1017.7,68,2.2,13.3,4.3,3.2,2.3,8,159
21229,2015-01-02 20:00,10.4,345,16.8,1019.2,60,2.7,13.3,4.1,3.1,2.2,7.1,194
21229,2015-01-02 21:00,9.7,354,14.2,1019.7,68,2.6,13.3,4.6,3.1,2.2,7.1,206
21229,2015-01-02 22:00,9.6,337,14.5,1020.7,57,2.7,13.3,4.5,3.4,2.4,8,212
21229,2015-01-02 23:00,9.1,337,14.5,1021,68,2.6,13.3,5.8,3.4,2.4,8,203
21229,2015-01-03 00:00,9,306,14.8,1020.9,62,3.1,13.3,4.4,2.8,2,8,220
21229,2015-01-03 01:00,7.5,306,11.3,1021.1,47,3.1,13.3,3.7,3.1,2.2,8,243
21229,2015-01-03 02:00,5.8,272,12.1,1021.2,54,3.5,13.3,3.8,2.6,1.8,8,267
21229,2015-01-03 03:00,6.4,280,10.2,1021.3,51,3.4,13.3,3.4,2.5,1.7,8,263
21229,2015-01-03 04:00,3.7,258,9.6,1021,48,3.4,13.3,3.1,2.3,1.6,9.1,273
21229,2015-01-03 05:00,5.4,268,8.9,1021.2,51,3.5,13.3,3.7,2.5,1.8,8,297
21229,2015-01-03 06:00,4.4,303,14.4,1021.3,49,3.5,13.3,3.1,2.2,1.6,8,289
21229,2015-01-03 07:00,5.1,257,9.1,,51,3.7,13.3,2.6,2.2,1.6,8,302
21229,2015-01-03 08:00,3.5,263,6.8,1021.1,49,3.6,13.3,2.7,2,1.4,8,314
21229,2015-01-03 09:00,3.6,232,6.5,,51,3.8,13.2,2.2,1.8,1.3,8,327
21229,2015-01-03 10:00,2.9,268,5.4,1022.7,52,3.8,13.2,2.7,1.8,1.3,8,309
21229,2015-01-03 11:00,4,211,8.1,1022.8,55,4.3,13.2,3,2.1,1.5,7.1,327
21229,2015-01-03 12:00,4.6,230,8.3,1022.6,57,4.6,13.2,2.6,1.8,1.3,8,337
21229,2015-01-03 13:00,5.2,225,9.1,1021.3,53,4.8,13.3,2,1.6,1.1,7.1,324
21229,2015-01-03 14:00,4.8,232,7.7,1019,51,5.1,13.3,1.9,1.8,1.3,8,339
21229,2015-01-03 15:00,5.2,249,9.9,1018.5,53,5.9,13.3,2.1,1.6,1.2,7.1,320
21229,2015-01-03 16:00,5.3,256,7.8,1017.7,49,6.2,13.3,2.2,1.4,1,7.1,304
21229,2015-01-03 17:00,4.4,245,8.2,1015.7,47,6.1,13.3,1.8,1.6,1.1,7.1,311
21229,2015-01-03 18:00,4.9,239,7.9,1016.6,49,6.2,13.3,2,1.5,1.1,6.4,312
21229,2015-01-03 19:00,5.7,236,9.1,1016.8,49,6.6,13.3,1.7,1.3,.9,7.1,311
21229,2015-01-03 20:00,7,237,15.5,1016,44,7.2,13.3,2,1.3,.9,5.8,308
21229,2015-01-03 21:00,6.4,246,9.1,1016.7,40,7.5,13.3,1.6,1.3,.9,7.1,323
21229,2015-01-03 22:00,6.3,256,8.9,1016.8,50,7.9,13.3,2,1.3,.9,8,333
21229,2015-01-03 23:00,5.9,258,9.3,1016,51,8.1,13.3,1.7,1.2,.9,6.4,304
21229,2015-01-04 00:00,7.1,262,10.9,1015.7,44,8.4,13.3,2,1.3,.9,5.8,327
21229,2015-01-04 01:00,5.8,275,10.2,1015.4,47,8.4,13.3,1.9,1.3,.9,4.9,118
21229,2015-01-04 02:00,8.1,241,11.2,1015.2,46,8.5,13.3,1.7,1.3,.9,5.8,248
21229,2015-01-04 03:00,7.6,282,11.3,1014.3,48,8.3,13.3,2.2,1.5,1,6.4,265
21229,2015-01-04 04:00,7,290,10,1015.1,50,8.8,13.3,2,1.5,1.1,5.8,132
21229,2015-01-04 05:00,7.3,302,11,1014.5,56,8.2,13.3,3.6,1.4,1,5.8,160
21229,2015-01-04 06:00,7.5,281,10.8,1014.1,57,7.8,13.3,2.5,2,1.4,6.4,172
21229,2015-01-04 07:00,7.6,315,13.6,1014.5,59,7.8,13.3,2.7,2,1.4,5.8,169
21229,2015-01-04 08:00,6,300,9.2,1014.7,59,7.9,13.3,3.1,1.9,1.3,5.8,167
21229,2015-01-04 09:00,6.1,299,9,1015.6,62,8.1,13.3,2.8,2.1,1.5,8,205
21229,2015-01-04 10:00,5.7,266,9.7,1016.4,59,8.1,13.3,3.6,2,1.4,7.1,203
21229,2015-01-04 11:00,6.2,298,9.2,1017.6,57,8.4,13.3,3.3,2.1,1.5,8,211
21229,2015-01-04 12:00,6.7,261,9.9,1017.5,59,8.5,13.3,3.3,2.3,1.6,8,229
21229,2015-01-04 13:00,6.1,250,8.8,1016.4,57,8.5,13.3,3.1,1.9,1.4,7.1,258
21229,2015-01-04 14:00,6.7,282,10.1,1015.5,60,8.7,13.3,2.2,1.6,1.2,6.4,215
21229,2015-01-04 15:00,4.4,296,10.4,1014,54,9,13.3,2.2,1.6,1.1,7.1,201
21229,2015-01-04 16:00,3.6,284,6.4,,52,9,13.3,2.4,1.4,1,7.1,216
21229,2015-01-04 17:00,4.4,338,7.2,1013.5,65,8.5,13.3,2.2,1.5,1.1,6.4,180
21229,2015-01-04 18:00,2.9,340,8.3,1014.7,67,8.6,13.3,2,1.5,1.1,6.4,135
21229,2015-01-04 19:00,4.1,322,10.5,1015.7,60,8.9,13.3,1.9,1.3,1,6.4,113
21229,2015-01-04 20:00,4.6,27,6.4,1016.7,74,8.3,13.3,1.5,1.3,.9,5.3,182
21229,2015-01-04 21:00,3.6,56,5.9,1017,70,8.1,13.3,1.4,1.1,.8,5.8,173
21229,2015-01-04 22:00,3,13,4.9,1017.6,66,8.5,13.3,1.5,1.2,.8,5.8,32
21229,2015-01-04 23:00,2.5,27,6.4,1017.7,66,8.4,13.3,1.5,1.1,.8,5.8,41
21229,2015-01-05 00:00,2.4,34,7.9,,64,8.5,13.3,1.3,1,.7,5.3,200
21229,2015-01-05 01:00,2.8,61,5,1018.8,64,8.5,13.2,1.5,.8,.6,4.9,138
21229,2015-01-05 02:00,2.1,28,3.8,1019,63,8.6,13.2,1.2,.8,.6,5.8,176
21229,2015-01-05 03:00,1.6,57,3.4,1019,63,8.7,13.2,1.3,.8,.6,4.9,151
21229,2015-01-05 04:00,4,73,8.8,1020.4,65,8.7,13.2,1.2,.8,.6,4.9,23
21229,2015-01-05 05:00,2.2,80,6.1,1019.7,66,8.4,13.2,1.1,.7,.5,5.3,171
21229,2015-01-05 06:00,3.2,95,4.8,1020.2,66,8.4,13.2,1,.8,.6,5.3,184
21229,2015-01-05 07:00,3.6,149,5.3,1020.4,66,8.4,13.2,1,.7,.5,4.6,9
21229,2015-01-05 08:00,4.5,114,6.6,1020.7,68,8.8,13.2,.9,.7,.5,4.9,12
21229,2015-01-05 09:00,4.9,144,7.1,1021.2,68,9.2,13.2,1.1,.7,.5,4.6,350
21229,2015-01-05 10:00,6.7,151,9.2,1021.4,67,9.5,13.2,1.1,.7,.5,4.6,40
21229,2015-01-05 11:00,6.3,168,9.7,1021.3,66,9.6,13.2,1,.8,.5,3,138
21229,2015-01-05 12:00,6.5,192,9.7,1021.1,67,9.6,13.2,1.1,.8,.5,4.6,356
21229,2015-01-05 13:00,7.4,187,10.9,1018.3,67,9.9,13.2,1,.8,.5,3.4,168
21229,2015-01-05 14:00,7.5,189,10,1018.8,64,10.1,13.2,1.2,.9,.7,3.8,162
21229,2015-01-05 15:00,7.6,194,10.1,1016.9,56,10.3,13.2,1.2,.9,.6,3.6,167
21229,2015-01-05 16:00,8.5,178,11.1,1015.9,62,10.4,13.2,1.4,1,.7,4,160
21229,2015-01-05 17:00,9.9,193,12.9,1015.3,64,10.5,13.2,1.5,1.1,.8,4,169
21229,2015-01-05 18:00,9.8,194,13.2,1015.5,67,10.8,13.2,1.6,1.4,1,4.3,186
21229,2015-01-05 19:00,9.4,179,12.6,1014.7,69,10.9,13.2,2.2,1.3,1,4.3,170
21229,2015-01-05 20:00,11.4,193,15.7,1014.3,73,11.2,13.2,2.8,1.7,1.2,4.6,173
21229,2015-01-05 21:00,14.1,199,18.8,1013,72,11.4,13.2,2.7,2,1.4,5.3,184
21229,2015-01-05 22:00,14.5,228,19.6,1012.3,73,12.1,13.2,2.8,2.1,1.5,5.8,166
21229,2015-01-05 23:00,12,206,17.2,1011.6,74,12.4,13.2,2.7,2.1,1.5,5.3,148
21229,2015-01-06 00:00,11.2,225,15.7,1010.5,76,12.4,13.2,2.9,2,1.4,6.4,159
21229,2015-01-06 01:00,11.7,246,15.2,,74,11.6,13.2,3,1.9,1.3,5.3,157
21229,2015-01-06 02:00,10.7,250,14.1,1008.1,74,11.2,13.2,3,2.2,1.6,5.8,143
21229,2015-01-06 03:00,8.9,234,11.7,1007.2,79,11,13.2,2.1,1.7,1.2,5.8,152
21229,2015-01-06 04:00,6.9,240,9.7,1006.7,88,11.2,13.2,2,1.5,1,5.8,131
21229,2015-01-06 05:00,5.4,255,7.2,1004.6,85,10.5,13.2,2.2,1.5,1.1,6.4,112
21229,2015-01-06 06:00,7.5,307,10.6,,85,9.8,13.2,2.4,1.2,.9,5.8,88
21229,2015-01-06 07:00,8,310,17.9,1003.1,79,9.7,13.2,1.7,1.3,.9,6.4,51
21229,2015-01-06 08:00,12.4,331,16.9,1003.3,77,8.8,13.2,1.8,1.4,1,4,172
21229,2015-01-06 09:00,12.2,319,16.5,1003.5,65,9.7,13.2,2.4,1.6,1.1,4.6,193
21229,2015-01-06 10:00,14.1,331,21.4,1005,70,8.9,13.2,4.1,2.2,1.5,5.3,173
21229,2015-01-06 11:00,13.7,350,18.7,1005.5,60,8.5,13.2,3.8,2.6,1.8,6.4,178
21229,2015-01-06 12:00,8,22,12,1006.3,83,5.6,13.2,3.7,2.5,1.8,6.4,164
21229,2015-01-06 13:00,11,26,16.2,1005.7,90,3.7,13.2,3.3,2.4,1.7,7.1,142
21229,2015-01-06 14:00,10.4,20,14.7,1007.8,79,3.3,13.2,3.9,2.6,1.9,6.4,178
21229,2015-01-06 15:00,8.4,30,13.6,1008.5,76,3.5,13.2,3.1,2.5,1.8,7.1,145
21229,2015-01-06 16:00,7.3,358,11.6,1009.3,93,2.6,13.2,5.4,2.5,1.8,6.4,187
21229,2015-01-06 17:00,5.6,352,10.5,1009.6,76,2.9,13.2,3.8,3.2,2.3,8,179
21229,2015-01-06 18:00,6,12,11,1010.8,83,2.8,13.2,4.7,3.4,2.4,8,192
21229,2015-01-06 19:00,6.3,39,11,1010.6,79,3.1,13.2,5.5,3.9,2.8,8,189
21229,2015-01-06 20:00,8.3,321,13.6,1012.5,58,4.2,13.2,6.7,4.1,2.9,9.1,213
21229,2015-01-06 21:00,8.4,337,12.7,1011.6,49,4.4,13.2,4.7,3.5,2.5,9.1,233
21229,2015-01-06 22:00,10.1,329,15.2,1012.4,53,4.4,13.2,4.2,3.4,2.4,10.7,235
21229,2015-01-06 23:00,10.9,318,16.5,1013.2,50,4.6,13.2,4.3,3.2,2.2,8,222
21229,2015-01-07 00:00,11.2,318,17.2,1012,55,4.5,13.2,4,3.5,2.5,9.1,244
21229,2015-01-07 01:00,10.9,321,15.7,1012.3,53,4.2,13.2,4.7,3.2,2.2,10.7,239
21229,2015-01-07 02:00,10.4,331,15.9,1013.2,60,4.6,13.2,4.6,3,2.1,8,216
21229,2015-01-07 03:00,10.3,313,16.7,1013,61,4.1,13.2,4.4,2.8,2,8,213
21229,2015-01-07 04:00,9.9,300,15.4,1013.8,59,3.8,13.2,4.3,3.1,2.2,9.1,213
21229,2015-01-07 05:00,10.3,316,15.2,1013,65,3.9,13.2,4.7,3,2.2,6.4,186
21229,2015-01-07 06:00,10.7,318,15.6,1013,70,3.4,13.2,4.5,3.1,2.2,8,208
21229,2015-01-07 07:00,10.4,308,14.6,1013.3,63,3,13.2,3.6,3,2.1,8,184
21229,2015-01-07 08:00,9.4,311,14.3,,54,2.7,13.2,3.4,2.9,2,7.1,208
21229,2015-01-07 09:00,8.8,308,14.2,1014.9,63,3,13.2,4.2,2.9,2,8,183
21229,2015-01-07 10:00,7.7,352,13.7,1015.2,57,3.1,13.2,3.6,2.6,1.9,8,182
21229,2015-01-07 11:00,9.9,4,14.7,1016.1,61,2.9,13.1,4.6,2.8,2,8,178
21229,2015-01-07 12:00,11.3,343,17.2,1017.1,68,2.5,13.1,3.9,2.6,1.9,9.1,200
21229,2015-01-07 13:00,9.6,343,14.1,1016.3,65,2.6,13.1,3.7,3.1,2.2,8,174
21229,2015-01-07 14:00,8.7,340,12.9,1015.6,63,2.1,13.1,3.4,2.4,1.7,8,169
21229,2015-01-07 15:00,7.4,336,11.6,1015,60,2.3,13.1,4.7,2.5,1.8,9.1,207
21229,2015-01-07 16:00,5.6,349,10,1016.4,56,1.9,13.1,3.3,2.5,1.8,7.1,178
21229,2015-01-07 17:00,7.9,5,10.7,1016.6,79,1.5,13.1,3.6,2.1,1.5,9.1,165
21229,2015-01-07 18:00,4.6,354,9.8,1017.4,71,2,13.1,3.2,2.2,1.6,7.1,184
21229,2015-01-07 19:00,4.5,327,7.4,1018.8,61,2.9,13.1,3.1,2.2,1.6,8,198
21229,2015-01-07 20:00,5.8,355,10.4,1019,59,3.2,13.1,4.4,2.3,1.6,9.1,208
21229,2015-01-07 21:00,7.6,359,12,1019,52,3.4,13.1,3.4,2.3,1.7,9.1,217
21229,2015-01-07 22:00,7.3,318,11.7,1019,47,3.5,13.2,4.2,2.1,1.5,6.4,189
21229,2015-01-07 23:00,6.7,354,11.1,1019.7,54,3.9,13.2,3,2.4,1.7,9.1,204
21229,2015-01-08 00:00,6.7,326,11,1019.8,55,3.7,13.2,2.8,2.6,1.8,8,202
21229,2015-01-08 01:00,5.7,342,10.1,1020,52,3.8,13.1,3.6,2.6,1.9,9.1,220
21229,2015-01-08 02:00,6.6,355,10.1,1020.3,54,3.9,13.1,3.2,2.4,1.7,9.1,194
21229,2015-01-08 03:00,5.7,319,9.8,1019.8,46,3.9,13.1,3.1,2.4,1.7,8,184
21229,2015-01-08 04:00,6.2,325,9.4,1021.1,51,4.4,13.1,3.8,2.2,1.5,8,209
21229,2015-01-08 05:00,5.3,338,8.6,1020.1,48,4.5,13.1,3.4,2.3,1.6,8,173
21229,2015-01-08 06:00,5,316,9.6,1019.9,52,4.8,13.1,2.7,2.1,1.5,9.1,203
21229,2015-01-08 07:00,5.8,325,10.5,1020.3,48,4.8,13.1,3.2,2.6,1.9,8,215
21229,2015-01-08 08:00,5.3,320,10.9,1020.5,52,5.2,13.1,3.3,2.4,1.7,8,218
21229,2015-01-08 09:00,4.9,314,9.2,1020.7,50,4.9,13.1,2.5,2.3,1.6,8,219
21229,2015-01-08 10:00,5.2,300,9.3,,56,4.4,13.1,3.4,2.5,1.7,9.1,232
21229,2015-01-08 11:00,4.4,284,7.6,1021,67,4,13.1,2.7,2.4,1.7,9.1,263
21229,2015-01-08 12:00,4.3,323,7.4,1021.7,64,4.5,13.1,2.9,2.1,1.5,9.1,221
21229,2015-01-08 13:00,5.6,298,8.9,1022.3,50,5.3,13.1,3.1,2.4,1.7,9.1,252
21229,2015-01-08 14:00,6.8,323,10.6,1020.4,47,5.4,13.1,2.7,2.3,1.6,9.1,247
21229,2015-01-08 15:00,6.4,318,9.9,1018.7,51,5.5,13.1,3.8,2.6,1.9,12.8,269
21229,2015-01-08 16:00,6.6,345,10.7,1019.2,48,5.5,13.1,4.3,3.2,2.3,10.7,265
21229,2015-01-08 17:00,5.9,310,9,1019.3,51,5.5,13.1,3.7,3,2.2,9.1,229
21229,2015-01-08 18:00,5.1,321,9.4,1019,52,5.3,13.1,3.2,3.1,2.2,10.7,234
