지점,일시,풍속(m/s),풍향(deg),GUST풍속(m/s),현지기압(hPa),습도(%),기온(°C),수온(°C),최대파고(m),유의파고(m),평균파고(m),파주기(sec),파향(deg)
21229,2015-03-01 00:00,4,159,9.9,1023.1,60,5.8,10.6,2.6,2.1,1.5,10.7,116
21229,2015-03-01 01:00,4.6,142,9.1,1022.2,64,6,10.6,3.1,2.3,1.6,10.7,119
21229,2015-03-01 02:00,5.6,156,12.5,1020.6,80,4.9,10.6,2.5,2,1.4,10.7,109
21229,2015-03-01 03:00,2.1,189,4.3,1020.2,85,4,10.6,3,2.2,1.5,10.7,96
21229,2015-03-01 04:00,2.5,252,4.6,,86,4.1,10.6,2.9,2,1.4,9.1,100
21229,2015-03-01 05:00,2.6,248,4.7,1018.5,84,4.3,10.6,2.9,1.9,1.3,10.7,54
21229,2015-03-01 06:00,2.8,223,5.7,1017.8,82,4.7,10.6,3,2.2,1.5,10.7,62
21229,2015-03-01 07:00,3.7,275,6.3,1016,79,5.2,10.6,2.8,1.9,1.3,10.7,12
21229,2015-03-01 08:00,5.6,261,9.2,1016,85,4.7,10.6,2.4,1.8,1.3,10.7,334
21229,2015-03-01 09:00,4.5,306,10.5,1015.7,76,4.9,10.6,2.7,1.6,1.2,9.1,326
21229,2015-03-01 10:00,6.1,261,9.4,1015.7,82,4.7,10.6,2,1.6,1.1,9.1,325
21229,2015-03-01 11:00,7,280,13.4,1015.8,84,4.9,10.6,1.5,1.4,1,9.1,303
21229,2015-03-01 12:00,5.5,289,10.2,1015.5,81,5.2,10.6,2.5,1.4,1,9.1,294
21229,2015-03-01 13:00,3.4,304,5.7,1016.4,72,5.5,10.7,2.3,1.5,1,9.1,258
21229,2015-03-01 14:00,3,289,5.6,,65,6.1,10.7,2.1,1.4,1,9.1,249
21229,2015-03-01 15:00,4.5,294,7.4,1012,62,6.4,10.7,1.8,1.4,1,9.1,236
21229,2015-03-01 16:00,9.1,305,12.2,1011.1,62,6.8,10.7,2,1.7,1.2,9.1,257
21229,2015-03-01 17:00,8.7,315,11.8,1011.3,53,7,10.7,1.9,1.4,1,9.1,235
21229,2015-03-01 18:00,10.1,309,14.9,1010.6,51,7.2,10.7,2.3,1.6,1.1,4.9,162
21229,2015-03-01 19:00,8.8,326,12.2,1011,50,7.1,10.7,2.1,1.6,1.2,8,220
21229,2015-03-01 20:00,8.2,314,11.8,1012.3,49,7.4,10.7,2.6,1.7,1.2,5.8,179
21229,2015-03-01 21:00,9.8,300,13.9,1013.5,47,7.5,10.6,2.4,1.7,1.2,5.8,184
21229,2015-03-01 22:00,10.4,293,15.3,1013,43,7.9,10.6,2.3,1.8,1.3,6.4,179
21229,2015-03-01 23:00,12.2,287,17.4,1014.1,47,7.5,10.6,3.3,2.1,1.5,7.1,181
21229,2015-03-02 00:00,11.7,322,16.1,1014.8,51,7.2,10.6,4,2.5,1.8,6.4,192
21229,2015-03-02 01:00,11.5,328,15.7,1015.2,50,6.7,10.6,4.7,2.8,2,6.4,181
21229,2015-03-02 02:00,10.3,323,14.7,1015.9,52,6.4,10.6,4.3,2.5,1.8,8,206
21229,2015-03-02 03:00,11.7,343,17.2,1016.7,53,6.3,10.6,4.4,3.1,2.2,8,183
21229,2015-03-02 04:00,11.4,323,16.7,1016.2,53,6,10.6,4.4,3.2,2.3,8,182
21229,2015-03-02 05:00,9,297,12.9,1016.7,52,5.8,10.6,3.4,3.4,2.4,9.1,182
21229,2015-03-02 06:00,8.8,319,12.7,1017,59,6.1,10.6,4.4,2.9,2.1,9.1,179
21229,2015-03-02 07:00,9.6,296,13.5,1017.1,52,5.8,10.6,4.5,2.5,1.8,8,176
21229,2015-03-02 08:00,8.6,317,13.6,1017.2,52,5.7,10.6,3.2,2.2,1.6,7.1,184
21229,2015-03-02 09:00,7.3,324,12.2,1018.8,55,5.7,10.6,3.1,2.3,1.6,8,173
21229,2015-03-02 10:00,6.4,317,9.5,1019.2,50,5.5,10.6,3.4,2,1.4,6.4,171
21229,2015-03-02 11:00,5.4,299,9.1,1020.2,50,5.4,10.6,3.2,2,1.4,6.4,166
21229,2015-03-02 12:00,5.4,289,8.1,1021,49,5.6,10.7,2.7,1.8,1.3,8,165
21229,2015-03-02 13:00,3.3,308,6,1021.6,47,5.9,10.7,3.1,1.9,1.3,7.1,75
21229,2015-03-02 14:00,3,320,5.1,1020,45,6.2,10.8,2.5,1.6,1.1,6.4,58
21229,2015-03-02 15:00,3,209,7.3,1019.8,44,6.4,10.9,2.3,1.5,1,6.4,25
21229,2015-03-02 16:00,4.6,234,7.1,1017.9,42,6.5,10.9,2,1.5,1.1,6.4,340
21229,2015-03-02 17:00,4.1,249,5.9,1016.4,43,6.9,10.8,1.9,1.4,1,6.4,332
21229,2015-03-02 18:00,4.3,249,8.5,1015.8,47,7,10.8,1.9,1.4,1,6.4,331
21229,2015-03-02 19:00,5.2,212,7.2,1015.4,47,6.9,10.8,1.7,1.1,.8,6.4,322
21229,2015-03-02 20:00,5.6,203,9.6,1015.8,48,7,10.8,1.8,1.2,.8,5.8,346
21229,2015-03-02 21:00,5.5,191,8.9,1016.9,47,7.2,10.7,1.7,1.1,.8,6.4,356
21229,2015-03-02 22:00,7.2,211,9.6,1017.5,53,7.3,10.7,1.8,1.2,.8,6.4,1
21229,2015-03-02 23:00,6.6,209,9.6,1017.9,49,7.6,10.7,1.7,1.2,.8,7.1,16
21229,2015-03-03 00:00,7.2,205,13.7,1017.9,51,7.9,10.7,1.9,1.2,.9,5.3,349
21229,2015-03-03 01:00,7,208,9.5,1017.5,50,7.9,10.7,1.8,1.3,.9,7.1,6
21229,2015-03-03 02:00,6.9,203,9.5,1017.3,51,8.1,10.7,1.5,1.1,.8,4.6,231
21229,2015-03-03 03:00,6.7,204,9.2,1017,50,8.1,10.7,1.5,1.1,.8,4.6,217
21229,2015-03-03 04:00,6.6,215,9.5,1016.6,48,8.3,10.6,1.5,1.1,.8,4.9,238
21229,2015-03-03 05:00,7.6,210,9.9,1016.4,54,8.7,10.6,1.5,1.2,.8,4.6,192
21229,2015-03-03 06:00,6.9,210,9.5,1015.7,61,8.7,10.7,1.5,1.1,.8,5.3,240
21229,2015-03-03 07:00,7,215,10.1,1015.5,63,8.9,10.7,2.2,1.1,.8,4.9,226
21229,2015-03-03 08:00,7.2,210,9.8,1015.2,68,9.1,10.7,1.4,1.1,.8,4.9,223
21229,2015-03-03 09:00,7.4,210,13.7,1014.9,50,9.1,10.7,1.5,1.2,.9,4.9,214
21229,2015-03-03 10:00,5.4,237,11.9,1015.5,58,7.9,10.7,1.5,1,.7,4.9,204
21229,2015-03-03 11:00,4.8,250,7.1,1014.6,70,6.4,10.7,1.5,1,.7,4.9,219
21229,2015-03-03 12:00,4,276,7.5,1013.8,72,6.1,10.7,1.5,.9,.6,4.6,226
21229,2015-03-03 13:00,3.2,256,6.2,1013.7,76,6,10.7,1.1,.8,.5,4.9,194
21229,2015-03-03 14:00,7.7,195,12.2,1012.8,82,6,10.6,1.6,.8,.6,4.9,2
21229,2015-03-03 15:00,8.8,214,11.8,1011.7,75,7.1,10.7,2,1.3,.9,4.9,182
21229,2015-03-03 16:00,8.9,204,12.2,,80,6.6,10.7,2.1,1.5,1.1,5.3,183
21229,2015-03-03 17:00,9.8,222,12.7,1009.6,82,6.6,10.7,2,1.7,1.2,5.3,359
21229,2015-03-03 18:00,9,206,13,1008.6,80,7.1,10.6,2.1,1.5,1.1,5.3,173
21229,2015-03-03 19:00,7.7,246,11,1008,79,7.1,10.6,2.4,1.5,1.1,4.9,188
21229,2015-03-03 20:00,7.7,237,10.5,1008.1,77,7.6,10.6,1.5,1.3,.9,4.3,198
21229,2015-03-03 21:00,8.3,157,12.8,1007.7,79,7.5,10.6,1.9,1.3,.9,5.3,168
21229,2015-03-03 22:00,9.3,223,12.6,1007.7,77,8.2,10.6,2,1.4,1,4.6,159
21229,2015-03-03 23:00,9.4,231,12.4,1007.1,75,8.3,10.6,2.4,1.4,1,5.3,166
21229,2015-03-04 00:00,8.9,224,12.1,1007,68,8.4,10.6,1.8,1.4,1,5.3,163
21229,2015-03-04 01:00,7.4,253,10.8,1006.5,68,8.6,10.6,2.1,1.3,.9,5.8,150
21229,2015-03-04 02:00,9.3,260,12,1006.1,58,9.3,10.6,2.2,1.4,1,5.3,159
21229,2015-03-04 03:00,9.2,275,12.4,1005.8,64,8.9,10.6,1.8,1.2,.9,4.9,132
21229,2015-03-04 04:00,10.1,271,13.8,1005.6,65,8.7,10.6,1.7,1.5,1.1,5.3,128
21229,2015-03-04 05:00,11.7,268,16.9,1005.2,67,8.1,10.6,3,1.8,1.3,5.3,126
21229,2015-03-04 06:00,9.9,301,16.5,1005.4,66,6.7,10.6,2.8,2.2,1.5,6.4,60
21229,2015-03-04 07:00,12.5,316,17.8,1005.9,68,5.2,10.6,3.3,2.2,1.6,6.4,75
21229,2015-03-04 08:00,10,322,14,1006,55,3.7,10.6,3.9,2.3,1.7,7.1,58
21229,2015-03-04 09:00,13.6,285,19.7,1007.7,54,2.8,10.6,4.7,3.3,2.4,8,133
21229,2015-03-04 10:00,12.2,302,20.2,1009.4,56,2.7,10.6,4.9,3.7,2.7,8,159
21229,2015-03-04 11:00,11,294,16.6,1010.7,55,2.5,10.6,4.5,3.2,2.3,6.4,122
21229,2015-03-04 12:00,11.3,296,15.9,1011.9,57,2.6,10.6,4.5,3,2.1,8,171
21229,2015-03-04 13:00,10.5,268,16.9,1012.3,54,2.5,10.6,5.2,3.6,2.6,9.1,192
21229,2015-03-04 14:00,10.4,286,14.7,1013.9,51,2.6,10.6,5.5,4,2.9,9.1,185
21229,2015-03-04 15:00,10.5,294,16,1012.9,51,3,10.6,4.4,3.6,2.5,8,179
21229,2015-03-04 16:00,11.9,304,20.6,,51,3.6,10.6,5.2,3.6,2.6,9.1,178
21229,2015-03-04 17:00,12.5,310,18.2,,49,3.7,10.6,4.9,3.4,2.4,9.1,181
21229,2015-03-04 18:00,12.2,317,17.3,,45,3.5,10.6,4.6,3.6,2.6,8,180
21229,2015-03-04 19:00,12,318,17.2,1015.2,49,3.9,10.6,5.7,3.7,2.6,9.1,183
21229,2015-03-04 20:00,11.1,281,15.8,1016.2,49,4.1,10.6,6.5,3.7,2.6,9.1,176
21229,2015-03-04 21:00,10,292,14.1,1018.4,46,4.2,10.6,3.6,3.3,2.3,9.1,185
21229,2015-03-04 22:00,8.3,324,12.1,1019.3,50,4.4,10.6,4.8,2.8,2,9.1,190
21229,2015-03-04 23:00,10.3,317,15.7,1019.9,47,4.4,10.6,4.8,3,2.2,9.1,178
21229,2015-03-05 00:00,11.8,321,19.2,1021.2,56,4.4,10.6,4,3,2.1,8,176
21229,2015-03-05 01:00,11.7,314,16.5,1020.2,50,4.6,10.6,4.9,3.3,2.4,9.1,185
21229,2015-03-05 02:00,11,309,14.9,1021.6,53,4.4,10.6,4.3,2.9,2.1,9.1,200
21229,2015-03-05 03:00,10.5,323,15.3,1021,54,4.5,10.6,5.5,3,2.2,9.1,200
21229,2015-03-05 04:00,9.6,323,13.8,1021.9,57,4.8,10.6,4.1,3.4,2.4,9.1,211
21229,2015-03-05 05:00,8,342,12.2,1021.8,48,4.7,10.6,4.7,3.5,2.5,9.1,179
21229,2015-03-05 06:00,4.9,15,9.8,1022.1,64,3.9,10.6,4.8,3.9,2.8,9.1,162
21229,2015-03-05 07:00,8.1,5,12.2,1023,76,3.9,10.6,4.7,3.6,2.5,10.7,180
21229,2015-03-05 08:00,5.2,10,11.6,1022.3,92,1,10.6,4.7,3.2,2.3,9.1,173
21229,2015-03-05 09:00,6.4,360,11,1024.4,83,1.7,10.6,4.4,3.4,2.4,9.1,176
21229,2015-03-05 10:00,6.8,35,10.8,1025.4,67,2.7,10.5,5.5,3.8,2.7,10.7,183
21229,2015-03-05 11:00,5.9,26,10,1026.2,65,2.6,10.6,5.6,3.6,2.6,9.1,172
21229,2015-03-05 12:00,7,8,10.9,1026.5,72,2.6,10.5,4.1,3.6,2.6,9.1,179
21229,2015-03-05 13:00,6.6,34,10,1027.5,62,3.3,10.6,4.6,3.3,2.3,10.7,182
21229,2015-03-05 14:00,5.3,23,10.1,1027.3,59,3.5,10.6,3.8,3.3,2.3,9.1,178
21229,2015-03-05 15:00,4.9,28,8.2,1026.8,56,3.4,10.6,3.3,2.8,2,9.1,175
21229,2015-03-05 16:00,5.2,24,9.1,1027.1,54,3.6,10.6,3.9,3.1,2.2,10.7,185
21229,2015-03-05 17:00,4.6,30,7.6,1025.8,51,3.2,10.6,4.3,2.8,2,9.1,171
21229,2015-03-05 18:00,4.6,17,7.9,1025.8,51,3.1,10.6,3.8,2.7,1.9,9.1,176
21229,2015-03-05 19:00,4.1,28,7.7,1026,52,3.2,10.6,4.1,2.7,1.9,10.7,185
21229,2015-03-05 20:00,4.4,38,7.1,1026.3,54,3.3,10.6,3.3,2.6,1.9,9.1,178
21229,2015-03-05 21:00,4.5,23,7.7,1026.9,55,3.5,10.6,3.7,2.7,1.9,10.7,184
21229,2015-03-05 22:00,3.7,50,7.2,1027,51,3.2,10.6,3.5,2.4,1.7,10.7,190
21229,2015-03-05 23:00,4,38,11.6,,52,3.3,10.6,3,2.6,1.9,9.1,188
21229,2015-03-06 00:00,4.4,82,7.6,1027.7,50,3.1,10.6,3.7,2.9,2.1,10.7,183
21229,2015-03-06 01:00,3.5,55,6.2,1027.3,48,3,10.6,3.2,2.5,1.8,10.7,188
21229,2015-03-06 02:00,2.9,40,5.9,1027.4,49,3.2,10.6,3,2.6,1.8,10.7,185
21229,2015-03-06 03:00,3.1,53,6.3,1027.5,49,3.1,10.6,3.8,2.4,1.7,8,177
21229,2015-03-06 04:00,3.2,52,7.6,1027.1,48,3.2,10.6,2.9,2.4,1.7,10.7,184
21229,2015-03-06 05:00,2.9,74,5.7,1027.1,51,3.1,10.6,3.4,2.3,1.6,9.1,178
21229,2015-03-06 06:00,1.4,97,3.2,1026.9,46,3,10.6,3.1,2,1.4,9.1,184
21229,2015-03-06 07:00,2.2,90,4.8,1027.2,49,3,10.6,3,2.1,1.5,9.1,175
21229,2015-03-06 08:00,1.6,72,4,1027,50,3,10.6,2.4,1.9,1.4,10.7,188
21229,2015-03-06 09:00,3.2,75,6,1028,51,3.5,10.6,2.8,1.7,1.2,10.7,166
21229,2015-03-06 10:00,3.8,106,6.2,1029.4,49,3.3,10.6,2.3,2,1.4,10.7,172
21229,2015-03-06 11:00,3.7,127,6,1030.3,50,3.5,10.6,2.6,1.6,1.2,9.1,149
21229,2015-03-06 12:00,3.7,102,10.1,1029.9,50,3.6,10.7,2.3,1.7,1.2,9.1,160
21229,2015-03-06 13:00,2.8,121,7.2,1028.9,53,3.9,10.7,3.1,1.4,1,7.1,147
21229,2015-03-06 14:00,2,123,4.3,,52,4.1,10.8,2.3,1.5,1.1,9.1,160
21229,2015-03-06 15:00,1.4,115,4.6,1025,49,4.3,10.9,1.9,1.3,.9,8,170
21229,2015-03-06 16:00,2.8,105,6.3,1023.5,52,4.3,10.8,2.4,1.6,1.1,9.1,174
21229,2015-03-06 17:00,2.7,111,7.5,1023,54,4.7,10.8,2.1,1.5,1.1,9.1,139
21229,2015-03-06 18:00,3,137,7.5,1022.7,54,4.7,10.8,2,1.4,1,9.1,127
21229,2015-03-06 19:00,4.2,120,9,1022,56,4.6,10.8,2.1,1.4,1,9.1,114
21229,2015-03-06 20:00,4.5,129,6.7,1022.9,56,4.7,10.6,2,1.5,1.1,9.1,114
21229,2015-03-06 21:00,5,128,7.4,1023.6,57,4.6,10.6,1.8,1.4,1,9.1,124
21229,2015-03-06 22:00,4.7,145,9.8,1024,56,4.7,10.6,2.3,1.3,.9,9.1,134
21229,2015-03-06 23:00,4,144,11.1,1024.3,56,4.9,10.6,2.3,1.3,1,9.1,91
21229,2015-03-07 00:00,3.2,156,8.8,1024.1,56,4.8,10.6,1.8,1.1,.8,8,131
21229,2015-03-07 01:00,2.8,145,4.4,1024.1,55,5,10.6,1.8,1.5,1.1,8,147
21229,2015-03-07 02:00,2.1,151,3.9,1023.9,55,5.1,10.6,1.5,1.1,.8,8,154
21229,2015-03-07 03:00,2.8,168,6.3,1024.1,53,5.2,10.6,1.4,1.1,.8,8,116
