,2020년 배출량 (톤/yr)
배출원 대분류,TSP,PM-2.5,PM-10,SOx,NOx,VOCs,NH3,CO,BC
에너지산업 연소,3064,2421,2832,30805,53295,8117,2088,61609,379
비산업 연소,1203,816,1091,9939,82593,2808,1592,41802,183
제조업 연소,11369,3131,6751,26664,125417,2686,1118,17907,172
생산공정,10920,4771,6205,94283,43865,184973,41102,24952,14
에너지수송 및 저장,,,,,,22632,,,
유기용제 사용,,,,,,537042,,,
도로이동오염원,4088,3761,4088,236,309387,30259,2052,151788,2184
비도로이동오염원,16706,15493,16703,16468,295606,65486,120,184386,6736
폐기물처리,321,198,236,1685,10497,53444,23,2312,3
농업,,,,,,,200140,,
기타 면오염원,873,499,554,,252,1182,12957,9865,37
비산먼지,315954,16114,94613,,,,,,122
생물성 연소,27854,11356,13661,77,8316,82000,15,216779,2115
합계,392351,58558,146733,180157,929227,990629,261207,711399,11945
