,2020년 배출량 (톤/yr)
배출원 대분류,TSP,PM-2.5,PM-10,SOx,NOx,VOCs,NH3,CO,BC
에너지산업 연소,4961,3573,4524,97565,177219,8545,1745,63457,
비산업 연소,2289,1226,1955,31101,88769,2784,1392,87532,
제조업 연소,138826,41606,81014,95836,178034,3537,800,20125,
생산공정,11819,4829,6249,108333,55151,174156,35051,24912,
에너지수송 및 저장,,,,,,27241,,,
유기용제 사용,,,,,,562070,,,
도로이동오염원,12103,11135,12103,189,335721,65807,9839,409218,
비도로이동오염원,15170,13953,15167,65119,246027,22288,220,82615,
폐기물처리,330,202,243,6517,9529,46508,23,1957,
농업,,,,,,,231117,,
기타 면오염원,488,279,310,,165,637,12785,6865,
합계,185986,76802,121563,404660,1090614,913573,292973,696682,
