,2020년 배출량 (톤/yr)
배출원 대분류,TSP,PM-2.5,PM-10,SOx,NOx,VOCs,NH3,CO,BC
에너지산업 연소,4305,3308,3975,65868,104420,9161,1626,69972,405
비산업 연소,1439,890,1269,16566,87599,2936,1414,58172,172
제조업 연소,117150,35099,68315,78867,168967,3579,737,20060,753
생산공정,11975,5189,6758,107353,57020,188247,45981,27866,15
에너지수송 및 저장,,,,,,30770,,,
유기용제 사용,,,,,,547353,,,
도로이동오염원,8858,8149,8858,217,406227,43658,3322,213568,4935
비도로이동오염원,17236,15981,17232,29831,307942,67867,126,195020,7014
폐기물처리,338,209,245,2202,12492,57735,22,1954,3
농업,,,,,,,249777,,
기타 면오염원,560,320,356,,184,737,12957,7556,19
비산먼지,427916,18025,112472,,,,,,121
생물성 연소,27703,11217,13514,76,8413,83592,14,214632,2125
합계,617481,98388,232993,300979,1153265,1035636,315975,808801,15562
